,Source Account,Tweet Text,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
30,BBC Breaking News,"Woman, 63, charged with murder after police find a body buried in a Stockport garden https://t.co/IPZjlRH0sF",Thu Jan 11 08:22:03 +0000 2018,-0.7579,0.0,0.649,0.351
31,BBC Breaking News,"Tesco Christmas sales up 1.9%, Marks and Spencer sales fall by 1.4% for its third quarter
https://t.co/JV9rPrHwVw",Thu Jan 11 07:19:24 +0000 2018,0.0,0.0,1.0,0.0
32,BBC Breaking News,Ex-Trump strategist Steve Bannon stepping down from Breitbart News amid furore over remarks about president's son https://t.co/NDToEWRWjB,Tue Jan 09 21:12:44 +0000 2018,0.0,0.0,1.0,0.0
33,BBC Breaking News,North and South Korea agree to hold military talks to defuse border tensions https://t.co/AbZ2pK8S8o,Tue Jan 09 12:21:57 +0000 2018,-0.0516,0.145,0.698,0.157
34,BBC Breaking News,South Korea says a military hotline with the North that was suspended two years ago will reopen on Wednesday https://t.co/YXiutNpawc,Tue Jan 09 09:22:01 +0000 2018,-0.4767,0.0,0.853,0.147
35,BBC Breaking News,Journalist Toby Young stands down from role in new UK university regulator after criticism over controversial comme… https://t.co/DjSQyOhFRB,Tue Jan 09 07:05:06 +0000 2018,-0.5719,0.0,0.773,0.227
36,BBC Breaking News,Toby Young resigns as head of new university regulator after criticism over previous controversial comments https://t.co/xNHgDtktzT,Tue Jan 09 06:38:26 +0000 2018,-0.7184,0.0,0.65,0.35
37,BBC Breaking News,North Korea 'to send high-level delegation' to Winter Olympic Games in South Korea https://t.co/uxVxs2UuX6,Tue Jan 09 04:13:36 +0000 2018,0.0,0.0,1.0,0.0
38,BBC Breaking News,"@bbclaurak Damian Hinds appointed education secretary, Downing Street says

https://t.co/sw1XM3fHkw #cabinetreshuffle",Mon Jan 08 20:14:30 +0000 2018,0.0,0.0,1.0,0.0
39,BBC Breaking News,"Education Secretary Justine Greening quits UK government after refusing job in Work &amp; Pensions department,… https://t.co/UA1CBDKXDc",Mon Jan 08 19:52:21 +0000 2018,-0.4019,0.0,0.847,0.153
40,BBC Breaking News,A 17-year-old boy admits carrying out a spate of acid attacks against six moped riders in London in a bid to steal… https://t.co/wtOOV3aIRq,Mon Jan 08 16:25:11 +0000 2018,-0.1779,0.095,0.779,0.126
41,BBC Breaking News,"Man and woman found guilty of plotting UK terror attack using homemade bomb

https://t.co/xeB8WDx1wc https://t.co/BVhrJHTNkm",Mon Jan 08 15:16:16 +0000 2018,-0.91,0.0,0.468,0.532
42,BBC Breaking News,"RT @BBCSport: Andy Murray has had hip surgery in Melbourne.

Full story?
https://t.co/V2JdyPIcGq https://t.co/kaXjapXFOa",Mon Jan 08 13:02:21 +0000 2018,0.0,0.0,1.0,0.0
43,BBC Breaking News,"Ex-football coach Barry Bennell, 63, who is accused of a string of child sex offences, pleads guilty to six charges https://t.co/GhxIQFf7VH",Mon Jan 08 11:34:42 +0000 2018,-0.8176,0.0,0.627,0.373
44,BBC Breaking News,"Three Billboards Outside Ebbing, Missouri wins 'Best Motion Picture - Drama'

#GoldenGlobes https://t.co/EYJJHWbjY6 https://t.co/egJv83Bbk7",Mon Jan 08 04:08:00 +0000 2018,0.836,0.418,0.582,0.0
45,BBC Breaking News,"Frances McDormand wins 'Best Actress in a Motion Picture - Drama' for her role in Three Billboards Outside Ebbing,… https://t.co/vviW8Ec178",Mon Jan 08 04:03:16 +0000 2018,0.836,0.331,0.669,0.0
46,BBC Breaking News,"Gary Oldman wins 'Best Actor in a Motion Picture - Drama' 

#GoldenGlobes https://t.co/068UHmydVC https://t.co/aePg1yXPrl",Mon Jan 08 03:53:28 +0000 2018,0.836,0.441,0.559,0.0
47,BBC Breaking News,"Lady Bird wins 'Best Motion Picture - Comedy/Musical' 

#GoldenGlobes https://t.co/QrKvMydAKS https://t.co/8cBGj7mkcm",Mon Jan 08 03:46:00 +0000 2018,0.836,0.497,0.503,0.0
48,BBC Breaking News,"Saoirse Ronan wins 'Best Actress in a Comedy/Musical Motion Picture' for her role in Lady Bird

#GoldenGlobes… https://t.co/nYbvbqKQLW",Mon Jan 08 03:37:26 +0000 2018,0.836,0.345,0.655,0.0
49,BBC Breaking News,"Ewan McGregor wins 'Best Actor in a Television Miniseries' for his role in Fargo

#GoldenGlobes… https://t.co/Xv309VvS5T",Mon Jan 08 02:49:12 +0000 2018,0.836,0.378,0.622,0.0
50,BBC Breaking News,"James Franco wins 'Best Actor in a Comedy/Musical Motion Picture'

#GoldenGlobes https://t.co/9ws5IWhSCr https://t.co/bwSjZXBmzJ",Mon Jan 08 02:10:37 +0000 2018,0.836,0.441,0.559,0.0
51,BBC Breaking News,"BBC editor Carrie Gracie quits in gender pay gap row, accusing the corporation of “breaking equality law” https://t.co/NHajKDyqZR",Sun Jan 07 19:29:21 +0000 2018,-0.2732,0.0,0.838,0.162
52,BBC Breaking News,"""I went to the best college, I was a very excellent student... the author is a fraud"" - US President Donald Trump s… https://t.co/WMDS4hUFZ5",Sat Jan 06 17:20:24 +0000 2018,0.659,0.283,0.586,0.131
53,BBC Breaking News,"President Trump insists he is a ""very stable genius"", as he hits back at book claims over his mental fitness https://t.co/yVXTEJbuCq",Sat Jan 06 12:55:35 +0000 2018,0.5563,0.203,0.797,0.0
54,BBC Breaking News,"Russia mounts fierce criticism of US for convening UN Security Council over Iran protests that are"" internal affair"" https://t.co/1ZeX6hqhTg",Fri Jan 05 21:29:27 +0000 2018,-0.34,0.103,0.69,0.207
55,BBC Breaking News,Triple killer Theodore Johnson sentenced to minimum term of 26 years for murder of former partner Angela Best https://t.co/1sTsaF0Jb2,Fri Jan 05 14:50:56 +0000 2018,-0.7096,0.143,0.512,0.345
56,BBC Breaking News,"Jon Venables, one of the killers of toddler James Bulger in 1993, charged over indecent images of children https://t.co/lC4v4kPM8B",Fri Jan 05 14:26:52 +0000 2018,-0.7269,0.0,0.736,0.264
57,BBC Breaking News,"The Queen's granddaughter Zara Tindall and husband Mike Tindall are expecting their second child, a spokeswoman says https://t.co/MVNABgTW6A",Fri Jan 05 13:39:56 +0000 2018,0.0,0.0,1.0,0.0
58,BBC Breaking News,"Author of controversial book on Trump says US president has no credibility and his staff ""say he is like a child"" https://t.co/GSiBog471l",Fri Jan 05 12:24:31 +0000 2018,-0.128,0.102,0.735,0.163
